fen,move,score
rnbqkbnr/ppp1pppp/8/8/3Pp3/5N2/PPP2PPP/RNBQKB1R b KQkq - 1 3,e4f3,1
rnbqkbnr/ppp1pppp/8/8/3P4/5Q2/PPP2PPP/RNB1KB1R b KQkq - 0 4,g8f6,1
rnbqkb1r/ppp1pppp/5n2/8/2BP4/5Q2/PPP2PPP/RNB1K2R b KQkq - 2 5,e7e6,1
rnbqkb1r/ppp2ppp/4pn2/8/2BP4/4BQ2/PPP2PPP/RN2K2R b KQkq - 1 6,f8e7,1
rnbqk2r/ppp1bppp/4pn2/8/2BP4/4BQ2/PPP2PPP/RN3RK1 b kq - 3 7,e8g8,1
rnbq1rk1/ppp1bppp/4pn2/8/2BP4/2N1BQ2/PPP2PPP/R4RK1 b - - 5 8,b8d7,1
r1bq1rk1/pppnbppp/B3pn2/8/3P4/2N1BQ2/PPP2PPP/R4RK1 b - - 7 9,b7a6,-1
Q1bq1rk1/p1pnbppp/p3pn2/8/3P4/2N1B3/PPP2PPP/R4RK1 b - - 0 10,c8b7,-1
3q1rk1/pQpnbppp/p3pn2/8/3P4/2N1B3/PPP2PPP/R4RK1 b - - 0 11,f6e4,-1
3q1rk1/p1pnbppp/p3p3/8/3PQ3/2N1B3/PPP2PPP/R4RK1 b - - 0 12,d7e5,-1
3q1rk1/p1p1bppp/p3p3/4Q3/3P4/2N1B3/PPP2PPP/R4RK1 b - - 0 13,f7f6,-1
3q1rk1/p1p1b1pp/p3Qp2/8/3P4/2N1B3/PPP2PPP/R4RK1 b - - 0 14,g8h8,1
3q1r1k/p1p1b1pp/p3Qp2/3N4/3P4/4B3/PPP2PPP/R4RK1 b - - 2 15,c7c6,-1
3q1r1k/p3N1pp/p1p1Qp2/8/3P4/4B3/PPP2PPP/R4RK1 b - - 0 16,d8e7,-1
5r1k/p3Q1pp/p1p2p2/8/3P4/4B3/PPP2PPP/R4RK1 b - - 0 17,f8e8,-1
rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,e7e5,1
rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPPBP/RNBQK1NR b KQkq - 1 2,b8c6,1
r1bqkbnr/pppp1ppp/2n5/4p3/8/1P4P1/P1PPPPBP/RNBQK1NR b KQkq - 0 3,f8c5,1
r1bqk1nr/pppp1ppp/2n5/2b1p3/8/1P2P1P1/P1PP1PBP/RNBQK1NR b KQkq - 0 4,d7d6,1
r1bqk1nr/ppp2ppp/2np4/2b1p3/8/1P2P1P1/PBPP1PBP/RN1QK1NR b KQkq - 1 5,g8f6,1
r1bqk2r/ppp2ppp/2np1n2/2b1p3/8/1PN1P1P1/PBPP1PBP/R2QK1NR b KQkq - 3 6,e8g8,1
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/4N3/1P2P1P1/PBPP1PBP/R2QK1NR b KQ - 5 7,f6d7,1
r1bq1rk1/pppn1ppp/2np4/2N1p3/8/1P2P1P1/PBPP1PBP/R2QK1NR b KQ - 0 8,d7c5,1
r1bq1rk1/ppp2ppp/2np4/2n1p3/8/PP2P1P1/1BPP1PBP/R2QK1NR b KQ - 0 9,c8e6,1
r2q1rk1/ppp2ppp/2npb3/2n1p3/1P6/P3P1P1/1BPP1PBP/R2QK1NR b KQ - 0 10,c5e4,-1
r2q1rk1/ppp2ppp/2npb3/4p3/1P2B3/P3P1P1/1BPP1P1P/R2QK1NR b KQ - 0 11,c6d4,1
r2q1rk1/ppp2ppp/3pb3/4p3/1P1nB3/P1P1P1P1/1B1P1P1P/R2QK1NR b KQ - 0 12,d4c2,-1
r2q1rk1/ppp2ppp/3pb3/4p3/1P2B3/P1P1P1P1/1BQP1P1P/R3K1NR b KQ - 0 13,d8e7,1
r4rk1/pBp1qppp/3pb3/4p3/1P6/P1P1P1P1/1BQP1P1P/R3K1NR b KQ - 0 14,a8d8,-1
3r1rk1/pBp1qppp/3pb3/4p3/1P6/P1P1PNP1/1BQP1P1P/R3K2R b KQ - 2 15,e6d5,-1
3r1rk1/p1p1qppp/3p4/3Bp3/1P6/P1P1PNP1/1BQP1P1P/R3K2R b KQ - 0 16,a7a6,1
3r1rk1/2p1qppp/p2p4/4p3/1P2B3/P1P1PNP1/1BQP1P1P/R3K2R b KQ - 1 17,f7f6,-1
3r1rk1/2p1q1pB/p2p1p2/4p3/1P6/P1P1PNP1/1BQP1P1P/R3K2R b KQ - 0 18,g8h8,1
3r1r1k/2p1q1p1/p2p1p2/4p3/1P2B3/P1P1PNP1/1BQP1P1P/R3K2R b KQ - 2 19,f6f5,-1
