fens,moves,score
rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1,e7e5,1
rnbqkbnr/pppp1ppp/8/4p3/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2,c1b2,-1
rnbqkbnr/pppp1ppp/8/4p3/1P6/8/PBPPPPPP/RN1QKBNR b KQkq - 1 2,b8c6,1
r1bqkbnr/pppp1ppp/2n5/4p3/1P6/8/PBPPPPPP/RN1QKBNR w KQkq - 2 3,e2e3,-1
r1bqkbnr/pppp1ppp/2n5/4p3/1P6/4P3/PBPP1PPP/RN1QKBNR b KQkq - 0 3,g8f6,1
r1bqkb1r/pppp1ppp/2n2n2/4p3/1P6/4P3/PBPP1PPP/RN1QKBNR w KQkq - 1 4,g1f3,-1
r1bqkb1r/pppp1ppp/2n2n2/4p3/1P6/4PN2/PBPP1PPP/RN1QKB1R b KQkq - 2 4,f8e7,1
r1bqk2r/ppppbppp/2n2n2/4p3/1P6/4PN2/PBPP1PPP/RN1QKB1R w KQkq - 3 5,f3d4,-1
r1bqk2r/ppppbppp/2n2n2/4p3/1P1N4/4P3/PBPP1PPP/RN1QKB1R b KQkq - 4 5,e5d4,1
r1bqk2r/ppppbppp/2n2n2/8/1P1p4/4P3/PBPP1PPP/RN1QKB1R w KQkq - 0 6,e3d4,-1
r1bqk2r/ppppbppp/2n2n2/8/1P1P4/8/PBPP1PPP/RN1QKB1R b KQkq - 0 6,e8g8,1
r1bq1rk1/ppppbppp/2n2n2/8/1P1P4/8/PBPP1PPP/RN1QKB1R w KQ - 1 7,b1c3,-1
r1bq1rk1/ppppbppp/2n2n2/8/1P1P4/2N5/PBPP1PPP/R2QKB1R b KQ - 2 7,d7d6,1
r1bq1rk1/ppp1bppp/2np1n2/8/1P1P4/2N5/PBPP1PPP/R2QKB1R w KQ - 0 8,c3e4,-1
r1bq1rk1/ppp1bppp/2np1n2/8/1P1PN3/8/PBPP1PPP/R2QKB1R b KQ - 1 8,f6d5,1
r1bq1rk1/ppp1bppp/2np4/3n4/1P1PN3/8/PBPP1PPP/R2QKB1R w KQ - 2 9,a2a4,-1
r1bq1rk1/ppp1bppp/2np4/3n4/PP1PN3/8/1BPP1PPP/R2QKB1R b KQ - 0 9,c8e6,1
r2q1rk1/ppp1bppp/2npb3/3n4/PP1PN3/8/1BPP1PPP/R2QKB1R w KQ - 1 10,f1d3,-1
r2q1rk1/ppp1bppp/2npb3/3n4/PP1PN3/3B4/1BPP1PPP/R2QK2R b KQ - 2 10,f7f5,1
r2q1rk1/ppp1b1pp/2npb3/3n1p2/PP1PN3/3B4/1BPP1PPP/R2QK2R w KQ - 0 11,e4d6,-1
r2q1rk1/ppp1b1pp/2nNb3/3n1p2/PP1P4/3B4/1BPP1PPP/R2QK2R b KQ - 0 11,e7d6,1
r2q1rk1/ppp3pp/2nbb3/3n1p2/PP1P4/3B4/1BPP1PPP/R2QK2R w KQ - 0 12,d1e2,-1
r2q1rk1/ppp3pp/2nbb3/3n1p2/PP1P4/3B4/1BPPQPPP/R3K2R b KQ - 1 12,d8d7,1
r4rk1/pppq2pp/2nbb3/3n1p2/PP1P4/3B4/1BPPQPPP/R3K2R w KQ - 2 13,e1g1,-1
r4rk1/pppq2pp/2nbb3/3n1p2/PP1P4/3B4/1BPPQPPP/R4RK1 b - - 3 13,f8e8,1
r3r1k1/pppq2pp/2nbb3/3n1p2/PP1P4/3B4/1BPPQPPP/R4RK1 w - - 4 14,f2f3,-1
r3r1k1/pppq2pp/2nbb3/3n1p2/PP1P4/3B1P2/1BPPQ1PP/R4RK1 b - - 0 14,d5e3,1
r3r1k1/pppq2pp/2nbb3/5p2/PP1P4/3BnP2/1BPPQ1PP/R4RK1 w - - 1 15,d3a6,-1
r3r1k1/pppq2pp/B1nbb3/5p2/PP1P4/4nP2/1BPPQ1PP/R4RK1 b - - 2 15,e3c4,1
r3r1k1/pppq2pp/B1nbb3/5p2/PPnP4/5P2/1BPPQ1PP/R4RK1 w - - 3 16,e2d1,-1
r3r1k1/pppq2pp/B1nbb3/5p2/PPnP4/5P2/1BPP2PP/R2Q1RK1 b - - 4 16,b7a6,1
r3r1k1/p1pq2pp/p1nbb3/5p2/PPnP4/5P2/1BPP2PP/R2Q1RK1 w - - 0 17,d1b1,-1
r3r1k1/p1pq2pp/p1nbb3/5p2/PPnP4/5P2/1BPP2PP/RQ3RK1 b - - 1 17,c4e3,1
r3r1k1/p1pq2pp/p1nbb3/5p2/PP1P4/4nP2/1BPP2PP/RQ3RK1 w - - 2 18,d2e3,-1
r3r1k1/p1pq2pp/p1nbb3/5p2/PP1P4/4PP2/1BP3PP/RQ3RK1 b - - 0 18,a8d8,1
3rr1k1/p1pq2pp/p1nbb3/5p2/PP1P4/4PP2/1BP3PP/RQ3RK1 w - - 1 19,a4a5,-1
3rr1k1/p1pq2pp/p1nbb3/P4p2/1P1P4/4PP2/1BP3PP/RQ3RK1 b - - 0 19,c6d4,1
3rr1k1/p1pq2pp/p2bb3/P4p2/1P1n4/4PP2/1BP3PP/RQ3RK1 w - - 0 20,e3d4,-1
3rr1k1/p1pq2pp/p2bb3/P4p2/1P1P4/5P2/1BP3PP/RQ3RK1 b - - 0 20,e6d5,1
3rr1k1/p1pq2pp/p2b4/P2b1p2/1P1P4/5P2/1BP3PP/RQ3RK1 w - - 1 21,b2a3,-1
3rr1k1/p1pq2pp/p2b4/P2b1p2/1P1P4/B4P2/2P3PP/RQ3RK1 b - - 2 21,d7c6,1
3rr1k1/p1p3pp/p1qb4/P2b1p2/1P1P4/B4P2/2P3PP/RQ3RK1 w - - 3 22,f1d1,-1
3rr1k1/p1p3pp/p1qb4/P2b1p2/1P1P4/B4P2/2P3PP/RQ1R2K1 b - - 4 22,d6e7,1
3rr1k1/p1p1b1pp/p1q5/P2b1p2/1P1P4/B4P2/2P3PP/RQ1R2K1 w - - 5 23,b1c1,-1
3rr1k1/p1p1b1pp/p1q5/P2b1p2/1P1P4/B4P2/2P3PP/R1QR2K1 b - - 6 23,c6b5,1
3rr1k1/p1p1b1pp/p7/Pq1b1p2/1P1P4/B4P2/2P3PP/R1QR2K1 w - - 7 24,c1g5,-1
3rr1k1/p1p1b1pp/p7/Pq1b1pQ1/1P1P4/B4P2/2P3PP/R2R2K1 b - - 8 24,e7f6,1
3rr1k1/p1p3pp/p4b2/Pq1b1pQ1/1P1P4/B4P2/2P3PP/R2R2K1 w - - 9 25,g5g7,-1
3rr1k1/p1p3Qp/p4b2/Pq1b1p2/1P1P4/B4P2/2P3PP/R2R2K1 b - - 0 25,g8g7,1
3rr3/p1p3kp/p4b2/Pq1b1p2/1P1P4/B4P2/2P3PP/R2R2K1 w - - 0 26,d1d2,-1
3rr3/p1p3kp/p4b2/Pq1b1p2/1P1P4/B4P2/2PR2PP/R5K1 b - - 1 26,b5b4,1
3rr3/p1p3kp/p4b2/P2b1p2/1q1P4/B4P2/2PR2PP/R5K1 w - - 0 27,d2d3,-1
3rr3/p1p3kp/p4b2/P2b1p2/1q1P4/B2R1P2/2P3PP/R5K1 b - - 1 27,b4a5,1
3rr3/p1p3kp/p4b2/q2b1p2/3P4/B2R1P2/2P3PP/R5K1 w - - 0 28,g1h1,-1
3rr3/p1p3kp/p4b2/q2b1p2/3P4/B2R1P2/2P3PP/R6K b - - 1 28,a5a4,1
3rr3/p1p3kp/p4b2/3b1p2/q2P4/B2R1P2/2P3PP/R6K w - - 2 29,a1d1,-1
3rr3/p1p3kp/p4b2/3b1p2/q2P4/B2R1P2/2P3PP/3R3K b - - 3 29,c7c6,1
3rr3/p5kp/p1p2b2/3b1p2/q2P4/B2R1P2/2P3PP/3R3K w - - 0 30,a3c5,-1
3rr3/p5kp/p1p2b2/2Bb1p2/q2P4/3R1P2/2P3PP/3R3K b - - 1 30,a4b3,1
3rr3/p5kp/p1p2b2/2Bb1p2/3P4/1q1R1P2/2P3PP/3R3K w - - 2 31,d1b1,-1
3rr3/p5kp/p1p2b2/2Bb1p2/3P4/1q1R1P2/2P3PP/1R5K b - - 3 31,b3a3,1
3rr3/p5kp/p1p2b2/2Bb1p2/3P4/q2R1P2/2P3PP/1R5K w - - 4 32,d3c3,-1
3rr3/p5kp/p1p2b2/2Bb1p2/3P4/q1R2P2/2P3PP/1R5K b - - 5 32,a3b4,1
3rr3/p5kp/p1p2b2/2Bb1p2/1q1P4/2R2P2/2P3PP/1R5K w - - 6 33,b1d1,-1
3rr3/p5kp/p1p2b2/2Bb1p2/1q1P4/2R2P2/2P3PP/3R3K b - - 7 33,b4c3,1
3rr3/p5kp/p1p2b2/2Bb1p2/3P4/2q2P2/2P3PP/3R3K w - - 0 34,c5d6,-1
3rr3/p5kp/p1pB1b2/3b1p2/3P4/2q2P2/2P3PP/3R3K b - - 1 34,c3c2,1
3rr3/p5kp/p1pB1b2/3b1p2/3P4/5P2/2q3PP/3R3K w - - 0 35,d1b1,-1
3rr3/p5kp/p1pB1b2/3b1p2/3P4/5P2/2q3PP/1R5K b - - 1 35,d8d7,1
4r3/p2r2kp/p1pB1b2/3b1p2/3P4/5P2/2q3PP/1R5K w - - 2 36,b1f1,-1
4r3/p2r2kp/p1pB1b2/3b1p2/3P4/5P2/2q3PP/5R1K b - - 3 36,e8c8,1
2r5/p2r2kp/p1pB1b2/3b1p2/3P4/5P2/2q3PP/5R1K w - - 4 37,d6f8,-1
2r2B2/p2r2kp/p1p2b2/3b1p2/3P4/5P2/2q3PP/5R1K b - - 5 37,g7h8,1
2r2B1k/p2r3p/p1p2b2/3b1p2/3P4/5P2/2q3PP/5R1K w - - 6 38,f3f4,-1
2r2B1k/p2r3p/p1p2b2/3b1p2/3P1P2/8/2q3PP/5R1K b - - 0 38,c2g2,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,-1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g1h3,-1
rnbqkbnr/pppp1ppp/8/4p3/4P3/7N/PPPP1PPP/RNBQKB1R b KQkq - 1 2,b8c6,1
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/7N/PPPP1PPP/RNBQKB1R w KQkq - 2 3,f1a6,-1
r1bqkbnr/pppp1ppp/B1n5/4p3/4P3/7N/PPPP1PPP/RNBQK2R b KQkq - 3 3,d7d6,1
r1bqkbnr/ppp2ppp/B1np4/4p3/4P3/7N/PPPP1PPP/RNBQK2R w KQkq - 0 4,d1g4,-1
r1bqkbnr/ppp2ppp/B1np4/4p3/4P1Q1/7N/PPPP1PPP/RNB1K2R b KQkq - 1 4,c8g4,1
r2qkbnr/ppp2ppp/B1np4/4p3/4P1b1/7N/PPPP1PPP/RNB1K2R w KQkq - 0 5,b1c3,-1
r2qkbnr/ppp2ppp/B1np4/4p3/4P1b1/2N4N/PPPP1PPP/R1B1K2R b KQkq - 1 5,g8f6,1
r2qkb1r/ppp2ppp/B1np1n2/4p3/4P1b1/2N4N/PPPP1PPP/R1B1K2R w KQkq - 2 6,a2a3,-1
r2qkb1r/ppp2ppp/B1np1n2/4p3/4P1b1/P1N4N/1PPP1PPP/R1B1K2R b KQkq - 0 6,f8e7,1
r2qk2r/ppp1bppp/B1np1n2/4p3/4P1b1/P1N4N/1PPP1PPP/R1B1K2R w KQkq - 1 7,h3g1,-1
r2qk2r/ppp1bppp/B1np1n2/4p3/4P1b1/P1N5/1PPP1PPP/R1B1K1NR b KQkq - 2 7,e8g8,1
r2q1rk1/ppp1bppp/B1np1n2/4p3/4P1b1/P1N5/1PPP1PPP/R1B1K1NR w KQ - 3 8,e1f1,-1
r2q1rk1/ppp1bppp/B1np1n2/4p3/4P1b1/P1N5/1PPP1PPP/R1B2KNR b - - 4 8,b7b6,1
r2q1rk1/p1p1bppp/Bpnp1n2/4p3/4P1b1/P1N5/1PPP1PPP/R1B2KNR w - - 0 9,g2g3,-1
r2q1rk1/p1p1bppp/Bpnp1n2/4p3/4P1b1/P1N3P1/1PPP1P1P/R1B2KNR b - - 0 9,g4f3,1
r2q1rk1/p1p1bppp/Bpnp1n2/4p3/4P3/P1N2bP1/1PPP1P1P/R1B2KNR w - - 1 10,f1e1,-1
r2q1rk1/p1p1bppp/Bpnp1n2/4p3/4P3/P1N2bP1/1PPP1P1P/R1B1K1NR b - - 2 10,c6d4,1
r2q1rk1/p1p1bppp/Bp1p1n2/4p3/3nP3/P1N2bP1/1PPP1P1P/R1B1K1NR w - - 3 11,d2d3,-1
r2q1rk1/p1p1bppp/Bp1p1n2/4p3/3nP3/P1NP1bP1/1PP2P1P/R1B1K1NR b - - 0 11,d8d7,1
r4rk1/p1pqbppp/Bp1p1n2/4p3/3nP3/P1NP1bP1/1PP2P1P/R1B1K1NR w - - 1 12,c3d1,-1
r4rk1/p1pqbppp/Bp1p1n2/4p3/3nP3/P2P1bP1/1PP2P1P/R1BNK1NR b - - 2 12,f8d8,1
r2r2k1/p1pqbppp/Bp1p1n2/4p3/3nP3/P2P1bP1/1PP2P1P/R1BNK1NR w - - 3 13,g1f3,-1
r2r2k1/p1pqbppp/Bp1p1n2/4p3/3nP3/P2P1NP1/1PP2P1P/R1BNK2R b - - 0 13,d4f3,1
r2r2k1/p1pqbppp/Bp1p1n2/4p3/4P3/P2P1nP1/1PP2P1P/R1BNK2R w - - 0 14,e1e2,-1
r2r2k1/p1pqbppp/Bp1p1n2/4p3/4P3/P2P1nP1/1PP1KP1P/R1BN3R b - - 1 14,f3d4,1
r2r2k1/p1pqbppp/Bp1p1n2/4p3/3nP3/P2P2P1/1PP1KP1P/R1BN3R w - - 2 15,e2e3,-1
r2r2k1/p1pqbppp/Bp1p1n2/4p3/3nP3/P2PK1P1/1PP2P1P/R1BN3R b - - 3 15,d4e2,1
r2r2k1/p1pqbppp/Bp1p1n2/4p3/4P3/P2PK1P1/1PP1nP1P/R1BN3R w - - 4 16,h2h4,-1
r2r2k1/p1pqbppp/Bp1p1n2/4p3/4P2P/P2PK1P1/1PP1nP2/R1BN3R b - - 0 16,e2f4,1
r2r2k1/p1pqbppp/Bp1p1n2/4p3/4Pn1P/P2PK1P1/1PP2P2/R1BN3R w - - 1 17,g3f4,-1
r2r2k1/p1pqbppp/Bp1p1n2/4p3/4PP1P/P2PK3/1PP2P2/R1BN3R b - - 0 17,e5f4,1
r2r2k1/p1pqbppp/Bp1p1n2/8/4Pp1P/P2PK3/1PP2P2/R1BN3R w - - 0 18,e3f3,-1
r2r2k1/p1pqbppp/Bp1p1n2/8/4Pp1P/P2P1K2/1PP2P2/R1BN3R b - - 1 18,d7c6,1
r2r2k1/p1p1bppp/Bpqp1n2/8/4Pp1P/P2P1K2/1PP2P2/R1BN3R w - - 2 19,h4h5,-1
r2r2k1/p1p1bppp/Bpqp1n2/7P/4Pp2/P2P1K2/1PP2P2/R1BN3R b - - 0 19,c6b5,1
r2r2k1/p1p1bppp/Bp1p1n2/1q5P/4Pp2/P2P1K2/1PP2P2/R1BN3R w - - 1 20,b2b4,-1
r2r2k1/p1p1bppp/Bp1p1n2/1q5P/1P2Pp2/P2P1K2/2P2P2/R1BN3R b - - 0 20,b5b4,1
r2r2k1/p1p1bppp/Bp1p1n2/7P/1q2Pp2/P2P1K2/2P2P2/R1BN3R w - - 0 21,a3b4,-1
r2r2k1/p1p1bppp/Bp1p1n2/7P/1P2Pp2/3P1K2/2P2P2/R1BN3R b - - 0 21,f6e4,1
r2r2k1/p1p1bppp/Bp1p4/7P/1P2np2/3P1K2/2P2P2/R1BN3R w - - 0 22,d1b2,-1
r2r2k1/p1p1bppp/Bp1p4/7P/1P2np2/3P1K2/1NP2P2/R1B4R b - - 1 22,e4c3,1
r2r2k1/p1p1bppp/Bp1p4/7P/1P3p2/2nP1K2/1NP2P2/R1B4R w - - 2 23,f3g2,-1
r2r2k1/p1p1bppp/Bp1p4/7P/1P3p2/2nP4/1NP2PK1/R1B4R b - - 3 23,c3d5,1
r2r2k1/p1p1bppp/Bp1p4/3n3P/1P3p2/3P4/1NP2PK1/R1B4R w - - 4 24,g2g1,-1
r2r2k1/p1p1bppp/Bp1p4/3n3P/1P3p2/3P4/1NP2P2/R1B3KR b - - 5 24,e7f6,1
r2r2k1/p1p2ppp/Bp1p1b2/3n3P/1P3p2/3P4/1NP2P2/R1B3KR w - - 6 25,g1f1,-1
r2r2k1/p1p2ppp/Bp1p1b2/3n3P/1P3p2/3P4/1NP2P2/R1B2K1R b - - 7 25,d5c3,1
r2r2k1/p1p2ppp/Bp1p1b2/7P/1P3p2/2nP4/1NP2P2/R1B2K1R w - - 8 26,b4b5,-1
r2r2k1/p1p2ppp/Bp1p1b2/1P5P/5p2/2nP4/1NP2P2/R1B2K1R b - - 0 26,c3e2,1
r2r2k1/p1p2ppp/Bp1p1b2/1P5P/5p2/3P4/1NP1nP2/R1B2K1R w - - 1 27,h1h3,-1
r2r2k1/p1p2ppp/Bp1p1b2/1P5P/5p2/3P3R/1NP1nP2/R1B2K2 b - - 2 27,e2d4,1
r2r2k1/p1p2ppp/Bp1p1b2/1P5P/3n1p2/3P3R/1NP2P2/R1B2K2 w - - 3 28,h3g3,-1
r2r2k1/p1p2ppp/Bp1p1b2/1P5P/3n1p2/3P2R1/1NP2P2/R1B2K2 b - - 4 28,f4f3,1
r2r2k1/p1p2ppp/Bp1p1b2/1P5P/3n4/3P1pR1/1NP2P2/R1B2K2 w - - 0 29,g3g4,-1
r2r2k1/p1p2ppp/Bp1p1b2/1P5P/3n2R1/3P1p2/1NP2P2/R1B2K2 b - - 1 29,d4c2,1
r2r2k1/p1p2ppp/Bp1p1b2/1P5P/6R1/3P1p2/1Nn2P2/R1B2K2 w - - 0 30,a1a4,-1
r2r2k1/p1p2ppp/Bp1p1b2/1P5P/R5R1/3P1p2/1Nn2P2/2B2K2 b - - 1 30,c2d4,1
r2r2k1/p1p2ppp/Bp1p1b2/1P5P/R2n2R1/3P1p2/1N3P2/2B2K2 w - - 2 31,a4b4,-1
r2r2k1/p1p2ppp/Bp1p1b2/1P5P/1R1n2R1/3P1p2/1N3P2/2B2K2 b - - 3 31,d4c2,1
r2r2k1/p1p2ppp/Bp1p1b2/1P5P/1R4R1/3P1p2/1Nn2P2/2B2K2 w - - 4 32,g4g1,-1
r2r2k1/p1p2ppp/Bp1p1b2/1P5P/1R6/3P1p2/1Nn2P2/2B2KR1 b - - 5 32,c2d4,1
r2r2k1/p1p2ppp/Bp1p1b2/1P5P/1R1n4/3P1p2/1N3P2/2B2KR1 w - - 6 33,b4d4,-1
r2r2k1/p1p2ppp/Bp1p1b2/1P5P/3R4/3P1p2/1N3P2/2B2KR1 b - - 0 33,f6g5,1
r2r2k1/p1p2ppp/Bp1p4/1P4bP/3R4/3P1p2/1N3P2/2B2KR1 w - - 1 34,d4a4,-1
r2r2k1/p1p2ppp/Bp1p4/1P4bP/R7/3P1p2/1N3P2/2B2KR1 b - - 2 34,g5f4,1
r2r2k1/p1p2ppp/Bp1p4/1P5P/R4b2/3P1p2/1N3P2/2B2KR1 w - - 3 35,b2c4,-1
r2r2k1/p1p2ppp/Bp1p4/1P5P/R1N2b2/3P1p2/5P2/2B2KR1 b - - 4 35,f4g3,1
r2r2k1/p1p2ppp/Bp1p4/1P5P/R1N5/3P1pb1/5P2/2B2KR1 w - - 5 36,c1b2,-1
r2r2k1/p1p2ppp/Bp1p4/1P5P/R1N5/3P1pb1/1B3P2/5KR1 b - - 6 36,g3f4,1
r2r2k1/p1p2ppp/Bp1p4/1P5P/R1N2b2/3P1p2/1B3P2/5KR1 w - - 7 37,b2a3,-1
r2r2k1/p1p2ppp/Bp1p4/1P5P/R1N2b2/B2P1p2/5P2/5KR1 b - - 8 37,f4g3,1
r2r2k1/p1p2ppp/Bp1p4/1P5P/R1N5/B2P1pb1/5P2/5KR1 w - - 9 38,f2g3,-1
r2r2k1/p1p2ppp/Bp1p4/1P5P/R1N5/B2P1pP1/8/5KR1 b - - 0 38,f7f6,1
r2r2k1/p1p3pp/Bp1p1p2/1P5P/R1N5/B2P1pP1/8/5KR1 w - - 0 39,c4d6,-1
r2r2k1/p1p3pp/Bp1N1p2/1P5P/R7/B2P1pP1/8/5KR1 b - - 0 39,c7d6,1
r2r2k1/p5pp/Bp1p1p2/1P5P/R7/B2P1pP1/8/5KR1 w - - 0 40,a3c1,-1
r2r2k1/p5pp/Bp1p1p2/1P5P/R7/3P1pP1/8/2B2KR1 b - - 1 40,a8c8,1
2rr2k1/p5pp/Bp1p1p2/1P5P/R7/3P1pP1/8/2B2KR1 w - - 2 41,a4g4,-1
2rr2k1/p5pp/Bp1p1p2/1P5P/6R1/3P1pP1/8/2B2KR1 b - - 3 41,c8b8,1
1r1r2k1/p5pp/Bp1p1p2/1P5P/6R1/3P1pP1/8/2B2KR1 w - - 4 42,g4g5,-1
1r1r2k1/p5pp/Bp1p1p2/1P4RP/8/3P1pP1/8/2B2KR1 b - - 5 42,f6g5,1
1r1r2k1/p5pp/Bp1p4/1P4pP/8/3P1pP1/8/2B2KR1 w - - 0 43,h5h6,-1
1r1r2k1/p5pp/Bp1p3P/1P4p1/8/3P1pP1/8/2B2KR1 b - - 0 43,g7h6,1
1r1r2k1/p6p/Bp1p3p/1P4p1/8/3P1pP1/8/2B2KR1 w - - 0 44,f1f2,-1
1r1r2k1/p6p/Bp1p3p/1P4p1/8/3P1pP1/5K2/2B3R1 b - - 1 44,g8g7,1
1r1r4/p5kp/Bp1p3p/1P4p1/8/3P1pP1/5K2/2B3R1 w - - 2 45,f2e1,-1
1r1r4/p5kp/Bp1p3p/1P4p1/8/3P1pP1/8/2B1K1R1 b - - 3 45,g7f6,1
1r1r4/p6p/Bp1p1k1p/1P4p1/8/3P1pP1/8/2B1K1R1 w - - 4 46,g1f1,-1
1r1r4/p6p/Bp1p1k1p/1P4p1/8/3P1pP1/8/2B1KR2 b - - 5 46,f6f5,1
1r1r4/p6p/Bp1p3p/1P3kp1/8/3P1pP1/8/2B1KR2 w - - 6 47,c1e3,-1
1r1r4/p6p/Bp1p3p/1P3kp1/8/3PBpP1/8/4KR2 b - - 7 47,g5g4,1
1r1r4/p6p/Bp1p3p/1P3k2/6p1/3PBpP1/8/4KR2 w - - 0 48,e3c5,-1
1r1r4/p6p/Bp1p3p/1PB2k2/6p1/3P1pP1/8/4KR2 b - - 1 48,d6c5,1
1r1r4/p6p/Bp5p/1Pp2k2/6p1/3P1pP1/8/4KR2 w - - 0 49,f1f2,-1
1r1r4/p6p/Bp5p/1Pp2k2/6p1/3P1pP1/5R2/4K3 b - - 1 49,b8a8,1
r2r4/p6p/Bp5p/1Pp2k2/6p1/3P1pP1/5R2/4K3 w - - 2 50,f2g2,-1
r2r4/p6p/Bp5p/1Pp2k2/6p1/3P1pP1/6R1/4K3 b - - 3 50,d8f8,1
r4r2/p6p/Bp5p/1Pp2k2/6p1/3P1pP1/6R1/4K3 w - - 4 51,g2f2,-1
r4r2/p6p/Bp5p/1Pp2k2/6p1/3P1pP1/5R2/4K3 b - - 5 51,a8d8,1
3r1r2/p6p/Bp5p/1Pp2k2/6p1/3P1pP1/5R2/4K3 w - - 6 52,f2e2,-1
3r1r2/p6p/Bp5p/1Pp2k2/6p1/3P1pP1/4R3/4K3 b - - 7 52,d8d5,1
5r2/p6p/Bp5p/1Ppr1k2/6p1/3P1pP1/4R3/4K3 w - - 8 53,a6b7,-1
5r2/pB5p/1p5p/1Ppr1k2/6p1/3P1pP1/4R3/4K3 b - - 9 53,f3f2,1
5r2/pB5p/1p5p/1Ppr1k2/6p1/3P2P1/4Rp2/4K3 w - - 0 54,e1d1,-1
5r2/pB5p/1p5p/1Ppr1k2/6p1/3P2P1/4Rp2/3K4 b - - 1 54,d5d3,1
5r2/pB5p/1p5p/1Pp2k2/6p1/3r2P1/4Rp2/3K4 w - - 0 55,e2d2,-1
5r2/pB5p/1p5p/1Pp2k2/6p1/3r2P1/3R1p2/3K4 b - - 1 55,d3d2,1
5r2/pB5p/1p5p/1Pp2k2/6p1/6P1/3r1p2/3K4 w - - 0 56,d1c1,-1
5r2/pB5p/1p5p/1Pp2k2/6p1/6P1/3r1p2/2K5 b - - 1 56,f8d8,1
3r4/pB5p/1p5p/1Pp2k2/6p1/6P1/3r1p2/2K5 w - - 2 57,b7a6,-1
3r4/p6p/Bp5p/1Pp2k2/6p1/6P1/3r1p2/2K5 b - - 3 57,d2e2,1
3r4/p6p/Bp5p/1Pp2k2/6p1/6P1/4rp2/2K5 w - - 4 58,a6b7,-1
3r4/pB5p/1p5p/1Pp2k2/6p1/6P1/4rp2/2K5 b - - 5 58,e2e3,1
3r4/pB5p/1p5p/1Pp2k2/6p1/4r1P1/5p2/2K5 w - - 6 59,c1b2,-1
3r4/pB5p/1p5p/1Pp2k2/6p1/4r1P1/1K3p2/8 b - - 7 59,d8d2,1
8/pB5p/1p5p/1Pp2k2/6p1/4r1P1/1K1r1p2/8 w - - 8 60,b2a1,-1
8/pB5p/1p5p/1Pp2k2/6p1/4r1P1/3r1p2/K7 b - - 9 60,e3e2,1
8/pB5p/1p5p/1Pp2k2/6p1/6P1/3rrp2/K7 w - - 10 61,b7a6,-1
8/p6p/Bp5p/1Pp2k2/6p1/6P1/3rrp2/K7 b - - 11 61,f5f6,1
8/p6p/Bp3k1p/1Pp5/6p1/6P1/3rrp2/K7 w - - 12 62,a1b1,-1
8/p6p/Bp3k1p/1Pp5/6p1/6P1/3rrp2/1K6 b - - 13 62,f6e5,1
8/p6p/Bp5p/1Pp1k3/6p1/6P1/3rrp2/1K6 w - - 14 63,a6b7,-1
8/pB5p/1p5p/1Pp1k3/6p1/6P1/3rrp2/1K6 b - - 15 63,e5e6,1
8/pB5p/1p2k2p/1Pp5/6p1/6P1/3rrp2/1K6 w - - 16 64,b7a8,-1
B7/p6p/1p2k2p/1Pp5/6p1/6P1/3rrp2/1K6 b - - 17 64,e6d6,1
B7/p6p/1p1k3p/1Pp5/6p1/6P1/3rrp2/1K6 w - - 18 65,a8h1,-1
8/p6p/1p1k3p/1Pp5/6p1/6P1/3rrp2/1K5B b - - 19 65,e2e1,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b1c3,-1
rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1,e7e5,1
rnbqkbnr/pppp1ppp/8/4p3/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2,e2e4,-1
rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 0 2,b8c6,1
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 1 3,f1c4,-1
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 2 3,g8f6,1
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq - 3 4,g1f3,-1
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 4 4,f8c5,1
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 5 5,c4d3,-1
r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/2NB1N2/PPPP1PPP/R1BQK2R b KQkq - 6 5,e8g8,1
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/4P3/2NB1N2/PPPP1PPP/R1BQK2R w KQ - 7 6,f3h4,-1
